,cf_analysis_id,extract_date,transaction_date,unique_reference_id,reference_dimension,cashflow_type,cashflow_status,cashflow,time_to_maturity,discount_factor,present_value,currency,asset_liability_type,product_variant_name,fund,portfolio,cohort,entity,position_id,created_by,modified_by,created_date,modified_date
10,20th Jan 2025,2024-07-31,2024-12-05,0456PLA00061377,Security,Principal Proceeds,Unrealised,4580.758708541451,0.3469945355191257,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
11,20th Jan 2025,2024-07-31,2025-01-05,0456PLA00061377,Security,Interest Proceeds,Unrealised,2641.100625849056,0.4328767123287671,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
12,20th Jan 2025,2024-07-31,2025-01-05,0456PLA00061377,Security,Principal Proceeds,Unrealised,4544.899374150944,0.4328767123287671,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
13,20th Jan 2025,2024-07-31,2025-02-05,0456PLA00061377,Security,Interest Proceeds,Unrealised,2583.1998530002843,0.5178082191780822,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
14,20th Jan 2025,2024-07-31,2025-02-05,0456PLA00061377,Security,Principal Proceeds,Unrealised,4602.800146999716,0.5178082191780822,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
15,20th Jan 2025,2024-07-31,2025-03-05,0456PLA00061377,Security,Interest Proceeds,Unrealised,2280.249042732969,0.5945205479452055,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
16,20th Jan 2025,2024-07-31,2025-03-05,0456PLA00061377,Security,Principal Proceeds,Unrealised,4905.7509572670315,0.5945205479452055,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
17,20th Jan 2025,2024-07-31,2025-04-05,0456PLA00061377,Security,Interest Proceeds,Unrealised,2462.06351701442,0.6794520547945205,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
18,20th Jan 2025,2024-07-31,2025-04-05,0456PLA00061377,Security,Principal Proceeds,Unrealised,4723.93648298558,0.6794520547945205,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
19,20th Jan 2025,2024-07-31,2025-05-05,0456PLA00061377,Security,Interest Proceeds,Unrealised,2324.401800435829,0.7616438356164383,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
20,20th Jan 2025,2024-07-31,2025-05-05,0456PLA00061377,Security,Principal Proceeds,Unrealised,4861.5981995641705,0.7616438356164383,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
21,20th Jan 2025,2024-07-31,2025-06-05,0456PLA00061377,Security,Interest Proceeds,Unrealised,2339.9464313326216,0.8465753424657534,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
22,20th Jan 2025,2024-07-31,2025-06-05,0456PLA00061377,Security,Principal Proceeds,Unrealised,4846.053568667378,0.8465753424657534,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
23,20th Jan 2025,2024-07-31,2025-07-05,0456PLA00061377,Security,Interest Proceeds,Unrealised,2204.7184224713305,0.9287671232876712,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
24,20th Jan 2025,2024-07-31,2025-07-05,0456PLA00061377,Security,Principal Proceeds,Unrealised,4981.281577528669,0.9287671232876712,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
25,20th Jan 2025,2024-07-31,2025-08-05,0456PLA00061377,Security,Interest Proceeds,Unrealised,2214.748873990672,1.012311901504788,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
26,20th Jan 2025,2024-07-31,2025-08-05,0456PLA00061377,Security,Principal Proceeds,Unrealised,4971.251126009328,1.012311901504788,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
27,20th Jan 2025,2024-07-31,2025-09-05,0456PLA00061377,Security,Interest Proceeds,Unrealised,2151.416496631923,1.0971272229822162,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
28,20th Jan 2025,2024-07-31,2025-09-05,0456PLA00061377,Security,Principal Proceeds,Unrealised,5034.583503368077,1.0971272229822162,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
29,20th Jan 2025,2024-07-31,2025-10-05,0456PLA00061377,Security,Interest Proceeds,Unrealised,2019.9457569067351,1.1792065663474691,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
